,SrNo,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks,Encoded_VehicleResponsible,Hospital,AccYear,AccMonth,AccDay,HourOfAccident,TimeOfAccAMPM_AM,TimeOfAccAMPM_PM
10,11.0,skidding,3,1,fourlane,straight,junction,fine,Two wheeler self accident Drunk & Drive,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,9.0,8.0,10,0,1
11,12.0,overspeed,1 & 2,2 & 3 & 5,fourlane,slightcurve,junction,fine,Car Hit to the Multi axle,1,3,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to MVJ Hospital,car,MVJH,2015.0,9.0,8.0,10,0,1
12,13.0,overspeed,1 & 3,2,fourlane,straight,junction,fine,Bike,1,0,1,0,Ambulance/Petrol Vehicle,"Bike Over speed. 1-Minor, 2- non injured. Shifted to Ambulance Jalappa Hospital Kolar.",twowheeler,JalappaH,2014.0,9.0,8.0,7,0,1
13,14.0,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,9.0,7.0,7,0,1
14,15.0,others,3,2,fourlane,straight,junction,fine,T.T,0,0,0,0,Petrol Vehicle,T.T lost control by over speed (self accident),,,2015.0,9.0,6.0,3,0,1
15,16.0,others,2 & 3 & 4,2,fourlane,straight,junction,fine,Car over speed,0,2,1,3,Ambulance/Petrol Vehicle,Shifted to Hospital,car,,2014.0,9.0,6.0,12,0,1
16,17.0,skidding,2,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote,car,hoskoteH,2017.0,9.0,5.0,5,1,0
17,18.0,others,1,2 & 3 & 4,fourlane,slightcurve,junction,fine,Bike over speed and Vehicle out of control hit to the lorry,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,twowheeler,MVJH,2015.0,9.0,5.0,11,1,0
18,19.0,others,1,2,fourlane,straight,junction,fine,Car,1,0,0,0,Ambulance/Petrol Vehicle,Due to over speed of car lost control and collided with MS Guardrail car self accident,car,,2014.0,9.0,5.0,10,1,0
19,20.0,others,1,2,fourlane,straight,junction,fine,Over Speed of Car,1,0,0,0,Ambulance/Petrol Vehicle,Due Over Speed lost control,car,,2014.0,9.0,5.0,10,1,0
20,21.0,overspeed,1,7,fourlane,slightcurve,junction,fine,Fault of road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital,,MVJH,2016.0,9.0,4.0,12,0,1
21,22.0,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,Over speed of car rammed to auto rikshaw,car,,2014.0,9.0,4.0,12,0,1
22,23.0,rearendcollision,2 & 3,2,fourlane,straight,junction,fine,Multi axle over speed and hit to car,0,2,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2017.0,9.0,3.0,5,1,0
23,24.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit LCV,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli,car,avalahalliH,2017.0,9.0,3.0,3,1,0
24,25.0,skidding,1 & 2 & 4,2 & 3 & 5,fourlane,straight,tjunction,fine,Tata Ace hit to the car,1,1,0,3,Ambulance/Petrol Vehicle,The fatal and injured person shifted to Jalappa Hospital,car,JalappaH,2015.0,9.0,3.0,11,0,1
25,26.0,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Animal (Cow),0,0,1,0,Petrol Vehicle,The minor injured Animal and Traffic clear immediately,car,,2017.0,9.0,2.0,3,0,1
26,27.0,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2017.0,9.0,12.0,11,0,1
27,28.0,rightturncollision,2,2 & 4,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,9.0,12.0,3,0,1
28,29.0,skidding,3,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,9.0,12.0,8,0,1
29,30.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2017.0,9.0,11.0,6,1,0
30,31.0,others,1 & 2 & 4,2 & 3,fourlane,straight,junction,fine,Self accident Driver sleeping,1,1,0,2,Ambulance/Petrol Vehicle,The Fatal & Inured person shifted to Jalappa Hospital,,JalappaH,2015.0,9.0,10.0,4,0,1
31,32.0,overspeed,2,7,fourlane,straight,junction,fine,Fault of Two wheeler over speed to crossing road,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2018.0,9.0,1.0,6,0,1
32,33.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital,car,kr puramH,2015.0,8.0,9.0,2,0,1
33,34.0,headoncollision,3,2 & 5,twolane,straight,junction,fine,Truck over speed and hit to Bike & Bus,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2017.0,8.0,8.0,5,0,1
34,35.0,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Two wheeler,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,8.0,8.0,8,0,1
35,36.0,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2017.0,8.0,7.0,8,0,1
36,37.0,skidding,3,2,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,8.0,7.0,2,0,1
37,38.0,skidding,4,3,fourlane,straight,junction,fine,Driver sleeping vehicle out of control and skidding,0,0,0,3,Ambulance/Petrol Vehicle,-,,,2015.0,8.0,7.0,1,0,1
38,39.0,overspeed,1 & 3,2 & 4,fourlane,straight,tjunction,fine,Bus over speed and hit to Two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,8.0,6.0,10,1,0
39,40.0,headoncollision,1,2 & 4,fourlane,straight,junction,cloudy,Bus over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote,twowheeler,hoskoteH,2018.0,8.0,5.0,5,1,0
40,41.0,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to KR Puram Govt. Hospital,car,kr puramH,2016.0,8.0,5.0,7,0,1
41,42.0,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2016.0,8.0,5.0,10,0,1
42,43.0,others,3 & 4,3 & 5,fourlane,straight,junction,fine,LCV vehicle over speed out of controll,0,0,2,2,Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2015.0,8.0,5.0,5,0,1
43,44.0,others,1,1,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,"Due Drunk and Drive Lost Control, Seriously Injured shifted to hospital but died in the hospital",twowheeler,,2014.0,8.0,5.0,11,1,0
44,45.0,others,1,1,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,Due to drunk and drive of bike rider self accident,twowheeler,,2014.0,8.0,5.0,11,1,0
45,46.0,headoncollision,1 & 2,2 & 4,fourlane,straight,junction,fine,Car over speed hit to Two wheeler. Fault of Two wheeler crossing the illegal median.,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,8.0,4.0,12,0,1
46,47.0,overspeed,3,2,fourlane,straight,junction,fine,Truck over speed and hit to car,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2017.0,8.0,3.0,3,1,0
47,48.0,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed and take U turn and hit to the car,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,8.0,3.0,5,0,1
48,49.0,skidding,2,2 & 3,fourlane,straight,junction,fine,Vehicle over speed and Out of Control,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,8.0,3.0,11,1,0
49,50.0,others,1,4,fourlane,straight,junction,fine,Bike raiding vehicle out of control,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,8.0,2.0,1,1,0
50,51.0,overspeed,2,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,1,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,8.0,12.0,1,1,0
51,52.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to LCV,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2015.0,8.0,12.0,12,0,1
52,53.0,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital,,MVJH,2015.0,8.0,12.0,2,0,1
53,54.0,headoncollision,1 & 4,2 & 4,fourlane,straight,junction,fine,Two wheeller over speed and Hit to JCB,2,0,0,1,Ambulance/Petrol Vehicle,Tha fatal body shifted to Jalappa Hospital,,JalappaH,2015.0,8.0,12.0,6,0,1
54,55.0,others,2,1 & 4,fourlane,slightcurve,junction,fine,Self Accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2014.0,8.0,12.0,3,0,1
55,56.0,others,2 & 3,7,fourlane,slightcurve,junction,fine,The vehicle of lorry hit to Road crossing passenger,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,lorry,MVJH,2014.0,8.0,12.0,11,1,0
56,57.0,others,2 & 4,1,fourlane,straight,junction,fine,Drunk & Drive,0,1,0,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,,JalappaH,2014.0,8.0,11.0,10,1,0
57,58.0,headoncollision,3,3,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,7.0,9.0,11,0,1
58,59.0,overspeed,1,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to road crossing pedestrain,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2016.0,7.0,9.0,10,1,0
59,60.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital,twowheeler,kr puramH,2016.0,7.0,9.0,11,0,1
60,61.0,skidding,2,2,fourlane,straight,junction,fine,car over speed out of control,0,3,0,0,Ambulance,"The injured person shifted to Govt Hospital, Hoskote",car,hoskoteH,2015.0,7.0,9.0,5,0,1
61,62.0,overspeed,3,3,fourlane,slightcurve,junction,fine,Wrong route of Auto come and Hit to the Car over speed,0,0,3,0,Ambulance/Petrol Vehicle,The injured persons shifted to MVJ Hospital,car,MVJH,2014.0,7.0,9.0,8,1,0
62,63.0,skidding,2,1 & 2,fourlane,slightcurve,junction,fine,Fault of driver of Motor vehicle,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,7.0,7.0,1,0,1
63,64.0,overspeed,2 & 3,3,fourlane,straight,tjunction,fine,TATA ACE,0,1,2,0,Ambulance/Petrol Vehicle,Shifted to SNR Hospital Kolar,,snrH,2014.0,7.0,7.0,12,0,1
64,65.0,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to Car,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,7.0,6.0,11,0,1
65,66.0,overspeed,3,2,fourlane,straight,junction,fine,Car,0,0,0,5,Petrol Vehicle,Inova Car hits Maruthi car while over taking,car,,2015.0,7.0,6.0,1,0,1
66,67.0,others,3,2,fourlane,straight,yjunction,fine,Tempo over Speed,0,0,7,0,Ambulance/Petrol Vehicle,shifted to Hospital MVJ Hoskote,,hoskoteH,2014.0,7.0,6.0,4,1,0
67,68.0,headoncollision,1,2 & 5 & 9,fourlane,straight,junction,fine,Car over speed self accident. Negligible Driving,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,car,MVJH,2017.0,7.0,5.0,4,0,1
68,69.0,overspeed,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,0,1,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2017.0,7.0,5.0,7,0,1
69,70.0,others,2,2,fourlane,straight,junction,fine,Truck,0,1,0,0,Ambulance/Petrol Vehicle,Over speeding of truck collided with mini truck,truck,,2014.0,7.0,5.0,10,1,0
70,71.0,others,2,2,fourlane,straight,junction,fine,Over Speed of Lorry,0,1,0,0,Ambulance/Petrol Vehicle,Over speed while overtaking the Milk Van,lorry,,2014.0,7.0,5.0,10,1,0
71,72.0,skidding,1 & 3,2 & 9,fourlane,straight,junction,fine,LCV over speed Tyre blast self accident,1,0,3,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,7.0,4.0,12,0,1
72,73.0,skidding,3,2 & 4,fourlane,straight,forearmjunction,fine,Two wheeler over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,7.0,3.0,7,0,1
73,74.0,overspeed,1,7,fourlane,straight,junction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote,car,hoskoteH,2018.0,7.0,2.0,1,0,1
74,75.0,overspeed,1,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian. Vehicle over speed and hit to pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,,JalappaH,2018.0,7.0,2.0,8,0,1
75,76.0,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed turning the opening opposite vehicle of truck hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,7.0,2.0,3,0,1
76,77.0,headoncollision,1,2,fourlane,straight,junction,fine,Car over speed and hit to Agriculture vehicle.,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2017.0,7.0,12.0,11,0,1
77,78.0,others,3,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2016.0,7.0,12.0,8,0,1
78,79.0,others,1,3 & 5,fourlane,straight,junction,fine,Vehicle Hit to Road crossing Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to SNR Hospital,,snrH,2015.0,7.0,12.0,5,1,0
79,80.0,skidding,2 & 3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,7.0,12.0,9,0,1
80,81.0,overspeed,1,5,fourlane,straight,junction,fine,Two wheeler Hit and run Road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital,twowheeler,MVJH,2015.0,7.0,12.0,9,0,1
81,82.0,skidding,2,1,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,7.0,10.0,12,1,0
82,83.0,headoncollision,1,2 & 4,fourlane,slightcurve,junction,fine,Fault of Two wheeler over speed,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital,twowheeler,MVJH,2017.0,7.0,1.0,12,1,0
83,84.0,skidding,2,2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,7.0,1.0,7,0,1
84,85.0,overspeed,2,2,fourlane,straight,junction,fine,Unknown vehicle hit to Road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote,unknown,hoskoteH,2017.0,6.0,9.0,9,0,1
85,86.0,overspeed,2,2 & 3,fourlane,straight,junction,fine,Self Accident Drunk & Drive,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,6.0,9.0,4,1,0
86,87.0,skidding,3,2 & 5,fourlane,straight,junction,fine,Car over speed fault of driver,0,0,2,1,Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2015.0,6.0,9.0,12,1,0
87,88.0,rightturncollision,2 & 3,3,fourlane,straight,tjunction,fine,KSRTC bus over speed Hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured persons shifted to Jalapa Hospital,bus,,2014.0,6.0,9.0,6,0,1
88,89.0,headoncollision,1,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,6.0,8.0,3,0,1
89,90.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Truck over speed and Hit to the Two wheeler,1,0,2,0,Ambulance/Petrol Vehicle,The fatal boady shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,6.0,8.0,5,0,1
90,91.0,overspeed,3 & 4,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,"Tata Ace Over speed. 1-Minor, 2- non injured. Shifted to Ambulance SNR Hospital Kolar.",car,snrH,2014.0,6.0,8.0,6,1,0
91,92.0,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed hit to two wheeler,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2017.0,6.0,7.0,7,0,1
92,93.0,skidding,3 & 4,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed and vehicle out of control skidding self accident,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,6.0,7.0,3,0,1
93,94.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2017.0,6.0,6.0,2,0,1
94,95.0,skidding,2,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2017.0,6.0,6.0,11,1,0
95,96.0,skidding,3,2,fourlane,straight,junction,fine,Car over speed Driver sleeping vehicle skidding,0,0,1,0,Ambulance,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,6.0,6.0,2,1,0
96,97.0,headoncollision,2,2 & 3,fourlane,straight,tjunction,fine,Car over speed and hit to LCV,0,1,0,0,Ambulance,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,6.0,6.0,2,1,0
97,98.0,overspeed,2,2 & 3,fourlane,straight,tjunction,fine,Car over speed and Hit to LCV,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,6.0,6.0,2,1,0
98,99.0,overspeed,3,5,fourlane,straight,junction,fine,Tractor over speed U turn and hit to Car,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,6.0,6.0,4,0,1
99,100.0,others,2,2,fourlane,straight,junction,fine,Car,0,2,0,0,Ambulance/Petrol Vehicle,Shifted to Govt. Hospital Kolar,car,,2014.0,6.0,6.0,10,0,1
100,101.0,others,2,2,fourlane,straight,junction,fine,Car,0,2,0,0,Ambulance/Petrol Vehicle,Shifted to Govt. Hospital Kolar,car,,2014.0,6.0,6.0,10,0,1
101,102.0,collisionbrush,1,2 & 5,fourlane,straight,junction,fine,Fault of Car over speed and hit to the KSRTC bus,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,bus,JalappaH,2015.0,6.0,4.0,7,0,1
102,103.0,overspeed,2,1 & 5,fourlane,straight,junction,fine,Drunk & Drive of car driver,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,6.0,3.0,5,0,1
103,104.0,overspeed,2,2,fourlane,slightcurve,junction,fine,Car over speed and hit to road crossing Pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,6.0,3.0,10,0,1
104,105.0,overspeed,1,7,fourlane,straight,junction,fine,Bus hit to road crossing pedestrian. Fault of Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote,bus,hoskoteH,2018.0,6.0,2.0,9,1,0
105,106.0,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body & Injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,6.0,2.0,7,0,1
106,107.0,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Auto,0,2,5,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,bus,MVJH,2016.0,6.0,2.0,5,0,1
107,108.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed skidding,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,6.0,2.0,7,0,1
108,109.0,others,3,2 & 3,fourlane,straight,junction,fine,The car tyre puncher vehicle skidding on the carriageway,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2014.0,6.0,12.0,8,0,1
109,110.0,skidding,1,2,fourlane,straight,junction,fine,Car over speed self accident,1,0,0,0,Ambulance,The fatal body shifted to Govt Hoskote,car,hoskoteH,2017.0,6.0,11.0,1,1,0
110,111.0,overspeed,2,2 & 9,fourlane,straight,junction,fine,Car over speed hit to Truck,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli,car,,2017.0,6.0,11.0,9,0,1
111,112.0,skidding,2 & 3,2 & 3 & 4,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,6.0,11.0,9,1,0
112,113.0,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Over speed car and Hit to the Road Pedestrian,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2014.0,6.0,11.0,11,0,1
113,114.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2017.0,6.0,10.0,10,1,0
114,115.0,skidding,1 & 3,2 & 5,fourlane,slightcurve,junction,fine,Unknown vehicle hit to bike,1,0,2,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital,unknown,JalappaH,2016.0,6.0,10.0,3,1,0
115,116.0,skidding,2,3,fourlane,straight,junction,fine,Car skidding on MCW because driver sleeping,0,2,0,0,Petrol Vehicle,The injure person shifted to MVJ Hospital,car,MVJH,2015.0,6.0,10.0,4,1,0
116,117.0,skidding,2,7,fourlane,straight,junction,fine,Fault of Road crossing pedestrian,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli,,,2018.0,6.0,1.0,5,0,1
117,118.0,overspeed,2,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,5.0,9.0,9,0,1
