SrNo,Date,a,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,Vehicle Responsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
16,09-06-14,12:40,others,2 & 3 & 4,2,fourlane,straight,junction,fine,Car over speed,0,2,1,3,Ambulance/Petrol Vehicle,Shifted to Hospital
17,09-05-17,5:00,skidding,2,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote
18,09-05-15,11:15,others,1,2 & 3 & 4,fourlane,slightcurve,junction,fine,Bike over speed and Vehicle out of control hit to the lorry,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
19,09-05-14,10:00,others,1,2,fourlane,straight,junction,fine,Car,1,0,0,0,Ambulance/Petrol Vehicle,Due to over speed of car lost control and collided with MS Guardrail car self accident
20,09-05-14,10:00,others,1,2,fourlane,straight,junction,fine,Over Speed of Car,1,0,0,0,Ambulance/Petrol Vehicle,Due Over Speed lost control
21,09-04-16,12:55,overspeed,1,7,fourlane,slightcurve,junction,fine,Fault of road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
22,09-04-14,12:30,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,Over speed of car rammed to auto rikshaw
23,09-03-17,5:20,rearendcollision,2 & 3,2,fourlane,straight,junction,fine,Multi axle over speed and hit to car,0,2,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
24,09-03-17,3:15,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit LCV,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli
25,09-03-15,23:15,skidding,1 & 2 & 4,2 & 3 & 5,fourlane,straight,tjunction,fine,Tata Ace hit to the car,1,1,0,3,Ambulance/Petrol Vehicle,The fatal and injured person shifted to Jalappa Hospital
26,09-02-17,15:00,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Animal (Cow),0,0,1,0,Petrol Vehicle,The minor injured Animal and Traffic clear immediately
27,09-12-17,23:35,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
28,09-12-16,15:30,rightturncollision,2,2 & 4,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
29,09-12-15,20:10,skidding,3,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
30,09-11-17,6:00,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
31,09-10-15,16:30,others,1 & 2 & 4,2 & 3,fourlane,straight,junction,fine,Self accident Driver sleeping,1,1,0,2,Ambulance/Petrol Vehicle,The Fatal & Inured person shifted to Jalappa Hospital
32,09-01-18,18:00,overspeed,2,7,fourlane,straight,junction,fine,Fault of Two wheeler over speed to crossing road,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
33,08-09-15,14:35,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
34,08-08-17,17:00,headoncollision,3,2 & 5,twolane,straight,junction,fine,Truck over speed and hit to Bike & Bus,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
35,08-08-15,20:35,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Two wheeler,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
36,08-07-17,20:00,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
37,08-07-16,14:45,skidding,3,2,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
38,08-07-15,13:30,skidding,4,3,fourlane,straight,junction,fine,Driver sleeping vehicle out of control and skidding,0,0,0,3,Ambulance/Petrol Vehicle,-
39,08-06-16,10:35,overspeed,1 & 3,2 & 4,fourlane,straight,tjunction,fine,Bus over speed and hit to Two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital
40,08-05-18,5:09,headoncollision,1,2 & 4,fourlane,straight,junction,cloudy,Bus over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
41,08-05-16,19:50,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to KR Puram Govt. Hospital
42,08-05-16,22:45,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
43,08-05-15,17:20,others,3 & 4,3 & 5,fourlane,straight,junction,fine,LCV vehicle over speed out of controll,0,0,2,2,Petrol Vehicle,The injured person shifted to Jalappa Hospital
44,08-05-14,11:00,others,1,1,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,"Due Drunk and Drive Lost Control, Seriously Injured shifted to hospital but died in the hospital"
45,08-05-14,11:00,others,1,1,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,Due to drunk and drive of bike rider self accident
46,08-04-16,12:40,headoncollision,1 & 2,2 & 4,fourlane,straight,junction,fine,Car over speed hit to Two wheeler. Fault of Two wheeler crossing the illegal median.,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital
47,08-03-17,3:30,overspeed,3,2,fourlane,straight,junction,fine,Truck over speed and hit to car,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
48,08-03-16,17:45,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed and take U turn and hit to the car,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
49,08-03-15,11:30,skidding,2,2 & 3,fourlane,straight,junction,fine,Vehicle over speed and Out of Control,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
50,08-02-15,1:00,others,1,4,fourlane,straight,junction,fine,Bike raiding vehicle out of control,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
51,08-12-15,1:30,overspeed,2,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,1,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
52,08-12-15,12:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to LCV,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
53,08-12-15,14:30,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
54,08-12-15,18:22,headoncollision,1 & 4,2 & 4,fourlane,straight,junction,fine,Two wheeller over speed and Hit to JCB,2,0,0,1,Ambulance/Petrol Vehicle,Tha fatal body shifted to Jalappa Hospital
55,08-12-14,15:25,others,2,1 & 4,fourlane,slightcurve,junction,fine,Self Accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
56,08-12-14,11:45,others,2 & 3,7,fourlane,slightcurve,junction,fine,The vehicle of lorry hit to Road crossing passenger,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
57,08-11-14,10:00,others,2 & 4,1,fourlane,straight,junction,fine,Drunk & Drive,0,1,0,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
58,07-09-16,23:15,headoncollision,3,3,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
59,07-09-16,10:30,overspeed,1,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to road crossing pedestrain,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
60,07-09-16,23:15,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
61,07-09-15,17:30,skidding,2,2,fourlane,straight,junction,fine,car over speed out of control,0,3,0,0,Ambulance,"The injured person shifted to Govt Hospital, Hoskote"
62,07-09-14,8:45,overspeed,3,3,fourlane,slightcurve,junction,fine,Wrong route of Auto come and Hit to the Car over speed,0,0,3,0,Ambulance/Petrol Vehicle,The injured persons shifted to MVJ Hospital
63,07-07-15,13:00,skidding,2,1 & 2,fourlane,slightcurve,junction,fine,Fault of driver of Motor vehicle,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
64,07-07-14,12:40,overspeed,2 & 3,3,fourlane,straight,tjunction,fine,TATA ACE,0,1,2,0,Ambulance/Petrol Vehicle,Shifted to SNR Hospital Kolar
65,07-06-16,23:00,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to Car,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
66,07-06-15,13:30,overspeed,3,2,fourlane,straight,junction,fine,Car,0,0,0,5,Petrol Vehicle,Inova Car hits Maruthi car while over taking
67,07-06-14,4:00,others,3,2,fourlane,straight,yjunction,fine,Tempo over Speed,0,0,7,0,Ambulance/Petrol Vehicle,shifted to Hospital MVJ Hoskote
68,07-05-17,16:45,headoncollision,1,2 & 5 & 9,fourlane,straight,junction,fine,Car over speed self accident. Negligible Driving,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
69,07-05-17,19:30,overspeed,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,0,1,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
70,07-05-14,10:45,others,2,2,fourlane,straight,junction,fine,Truck,0,1,0,0,Ambulance/Petrol Vehicle,Over speeding of truck collided with mini truck
71,07-05-14,10:45,others,2,2,fourlane,straight,junction,fine,Over Speed of Lorry,0,1,0,0,Ambulance/Petrol Vehicle,Over speed while overtaking the Milk Van
72,07-04-16,12:35,skidding,1 & 3,2 & 9,fourlane,straight,junction,fine,LCV over speed Tyre blast self accident,1,0,3,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital
73,07-03-16,19:30,skidding,3,2 & 4,fourlane,straight,forearmjunction,fine,Two wheeler over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital
74,07-02-18,13:15,overspeed,1,7,fourlane,straight,junction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
75,07-02-18,20:40,overspeed,1,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian. Vehicle over speed and hit to pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
76,07-02-16,15:45,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed turning the opening opposite vehicle of truck hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
77,07-12-17,23:40,headoncollision,1,2,fourlane,straight,junction,fine,Car over speed and hit to Agriculture vehicle.,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
78,07-12-16,20:50,others,3,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
79,07-12-15,5:00,others,1,3 & 5,fourlane,straight,junction,fine,Vehicle Hit to Road crossing Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to SNR Hospital
80,07-12-15,21:00,skidding,2 & 3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
81,07-12-15,21:30,overspeed,1,5,fourlane,straight,junction,fine,Two wheeler Hit and run Road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
82,07-10-16,0:30,skidding,2,1,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
83,07-01-17,0:35,headoncollision,1,2 & 4,fourlane,slightcurve,junction,fine,Fault of Two wheeler over speed,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
84,07-01-17,19:45,skidding,2,2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
85,06-09-17,21:45,overspeed,2,2,fourlane,straight,junction,fine,Unknown vehicle hit to Road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
86,06-09-15,4:35,overspeed,2,2 & 3,fourlane,straight,junction,fine,Self Accident Drunk & Drive,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
87,06-09-15,0:45,skidding,3,2 & 5,fourlane,straight,junction,fine,Car over speed fault of driver,0,0,2,1,Petrol Vehicle,The injured person shifted to Jalappa Hospital
88,06-09-14,18:20,rightturncollision,2 & 3,3,fourlane,straight,tjunction,fine,KSRTC bus over speed Hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured persons shifted to Jalapa Hospital
89,06-08-17,15:10,headoncollision,1,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
90,06-08-15,17:35,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Truck over speed and Hit to the Two wheeler,1,0,2,0,Ambulance/Petrol Vehicle,The fatal boady shifted to Jalappa Hospital
91,06-08-14,6:30,overspeed,3 & 4,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,"Tata Ace Over speed. 1-Minor, 2- non injured. Shifted to Ambulance SNR Hospital Kolar."
92,06-07-17,19:00,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed hit to two wheeler,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
93,06-07-16,15:15,skidding,3 & 4,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed and vehicle out of control skidding self accident,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
94,06-06-17,14:55,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
95,06-06-17,11:55,skidding,2,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
96,06-06-16,2:15,skidding,3,2,fourlane,straight,junction,fine,Car over speed Driver sleeping vehicle skidding,0,0,1,0,Ambulance,The injured person shifted to Jalappa Hospital
97,06-06-16,2:45,headoncollision,2,2 & 3,fourlane,straight,tjunction,fine,Car over speed and hit to LCV,0,1,0,0,Ambulance,The injured person shifted to Jalappa Hospital
98,06-06-16,2:45,overspeed,2,2 & 3,fourlane,straight,tjunction,fine,Car over speed and Hit to LCV,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
99,06-06-16,16:30,overspeed,3,5,fourlane,straight,junction,fine,Tractor over speed U turn and hit to Car,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
100,06-06-14,22:30,others,2,2,fourlane,straight,junction,fine,Car,0,2,0,0,Ambulance/Petrol Vehicle,Shifted to Govt. Hospital Kolar
101,06-06-14,22:30,others,2,2,fourlane,straight,junction,fine,Car,0,2,0,0,Ambulance/Petrol Vehicle,Shifted to Govt. Hospital Kolar
102,06-04-15,19:00,collisionbrush,1,2 & 5,fourlane,straight,junction,fine,Fault of Car over speed and hit to the KSRTC bus,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
103,06-03-16,17:30,overspeed,2,1 & 5,fourlane,straight,junction,fine,Drunk & Drive of car driver,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
104,06-03-16,22:00,overspeed,2,2,fourlane,slightcurve,junction,fine,Car over speed and hit to road crossing Pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
105,06-02-18,9:15,overspeed,1,7,fourlane,straight,junction,fine,Bus hit to road crossing pedestrian. Fault of Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote
106,06-02-17,19:10,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body & Injured person shifted to MVJ Hospital
107,06-02-16,17:25,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Auto,0,2,5,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
108,06-02-16,19:36,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed skidding,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
109,06-12-14,20:40,others,3,2 & 3,fourlane,straight,junction,fine,The car tyre puncher vehicle skidding on the carriageway,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
110,06-11-17,1:30,skidding,1,2,fourlane,straight,junction,fine,Car over speed self accident,1,0,0,0,Ambulance,The fatal body shifted to Govt Hoskote
111,06-11-17,21:00,overspeed,2,2 & 9,fourlane,straight,junction,fine,Car over speed hit to Truck,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli
112,06-11-16,9:45,skidding,2 & 3,2 & 3 & 4,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
113,06-11-14,23:45,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Over speed car and Hit to the Road Pedestrian,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
114,06-10-17,10:30,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
115,06-10-16,3:20,skidding,1 & 3,2 & 5,fourlane,slightcurve,junction,fine,Unknown vehicle hit to bike,1,0,2,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
116,06-10-15,4:30,skidding,2,3,fourlane,straight,junction,fine,Car skidding on MCW because driver sleeping,0,2,0,0,Petrol Vehicle,The injure person shifted to MVJ Hospital
117,06-01-18,17:00,skidding,2,7,fourlane,straight,junction,fine,Fault of Road crossing pedestrian,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
118,05-09-16,21:20,overspeed,2,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
119,05-09-16,20:30,skidding,3,1,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
120,05-09-16,15:10,skidding,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,1,0,Ambulance,The injured person shifted to Srinivas Hospital
121,05-09-15,10:00,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance,The injured person shifted to KR Puram Govt. Hospital
122,05-09-15,19:00,overspeed,1,1,fourlane,straight,junction,fine,Drunk & Drive,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
123,05-09-14,23:30,headoncollision,1 & 2,2,fourlane,sharpcurve,tjunction,fine,TATA Ace Hit to Car over speeding,2,1,0,0,Ambulance/Petrol Vehicle,The Fatal person and Injured person shifted to Govt Hospital Kolar
124,05-08-15,14:30,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
125,05-07-15,16:35,skidding,4,2 & 4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,0,0,1,Petrol Vehicle,The injured person Shifted to Narsapur Govt Hsptl
126,05-07-15,19:35,overspeed,1,2 & 7,fourlane,slightcurve,junction,fine,Car over speed and hit to run the Pedestrian,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Mortury
127,05-07-15,22:10,overspeed,2,2 & 4,fourlane,straight,junction,fine,Fault of driver of Motor vehicle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
128,05-07-14,22:45,overspeed,2,1 & 2,fourlane,straight,junction,fine,Bike Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,Shifted to RL Jalappa Hospital Kolar
129,05-06-16,20:10,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
130,05-05-16,22:45,skidding,2,2,fourlane,straight,junction,fine,Car over speed vehicle out of control skidding,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital
131,05-05-16,0:45,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
132,05-04-18,1:00,headoncollision,2,1 & 2,fourlane,straight,junction,fine,LCV over speed and hit to Truck. Driver sleep and Drink & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
133,05-04-14,11:45,others,2,2,fourlane,straight,junction,fine,Bike,0,1,1,0,Ambulance/Petrol Vehicle,Due over speed of bike rider
134,05-03-17,14:40,headoncollision,1,2 & 5,fourlane,straight,tjunction,fine,car over speed and hit to two wheeler,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
135,05-03-15,20:05,overspeed,2 & 3 & 4,2 & 3 & 5,fourlane,straight,junction,fine,Total 3nos of vehicle accident in the spot,0,1,1,3,Ambulance,The injured person shifted to Jalappa Hospital
136,05-03-15,20:05,overspeed,2 & 3 & 4,2 & 3 & 5,fourlane,straight,junction,fine,Total 3nos of vehicle accident in the spot,0,1,1,3,Ambulance,The injured person shifted to Jalappa Hospital
137,05-03-15,16:48,others,1 & 2,2 & 3,fourlane,slightcurve,tjunction,fine,Self accident vehicle over speed,1,3,0,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to MVJ Hospital
138,05-03-15,17:00,others,2,1 & 2,fourlane,slightcurve,tjunction,fine,Self Accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
139,05-02-16,1:30,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Mini truck crushed with Truck. Negligent driving of Mini truck driver,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital
140,05-12-15,21:45,overspeed,2,2 & 3,fourlane,straight,junction,fine,Two wheeler overspeed and vehicle out of control skidding,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
141,05-10-16,23:45,overspeed,3,2,fourlane,straight,junction,fine,Car over speed and hit to Car,0,0,1,0,Ambulance,The injured person shifted to KR Puram Private Hospital
142,05-10-14,19:00,others,1 & 2 & 3,7,fourlane,slightcurve,junction,fine,Fault of Pedestrian,1,1,1,0,Ambulance/Petrol Vehicle,The Fatal person and Injured person shifted to Jalappa Hospital Kolar
143,05-01-16,11:15,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Negligent driving of the Auto driver,0,1,0,0,Ambulance,The injure person shifted to MVJ Hospital
144,04-08-17,1:05,headoncollision,1 & 3,2 & 3 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Car & LCV,3,0,1,0,Ambulance/Petrol Vehicle,The fatal & Injured person shifted to Jalappa Hospital Koalr
145,04-08-16,14:15,headoncollision,3,2 & 3,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,1,0,Ambulance/Petrol Vehicle,-
146,04-08-15,5:10,overspeed,1,2 & 7,fourlane,straight,junction,fine,Car hit to road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
