SrNo,Date,TimeOfAcc,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
11,09-08-2016,10:40 PM,skidding,3,1,fourlane,straight,junction,fine,Two wheeler self accident Drunk & Drive,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
12,09-08-2015,10:45 PM,overspeed,1 & 2,2 & 3 & 5,fourlane,slightcurve,junction,fine,Car Hit to the Multi axle,1,3,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to MVJ Hospital
13,09-08-2014,7:30 PM,overspeed,1 & 3,2,fourlane,straight,junction,fine,Bike,1,0,1,0,Ambulance/Petrol Vehicle,"Bike Over speed. 1-Minor, 2- non injured. Shifted to Ambulance Jalappa Hospital Kolar."
14,09-07-2017,7:45 PM,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
15,09-06-2015,3:50 PM,others,3,2,fourlane,straight,junction,fine,T.T,0,0,0,0,Petrol Vehicle,T.T lost control by over speed (self accident)
16,09-06-2014,12:40 PM,others,2 & 3 & 4,2,fourlane,straight,junction,fine,Car over speed,0,2,1,3,Ambulance/Petrol Vehicle,Shifted to Hospital
17,09-05-2017,5:00 AM,skidding,2,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote
18,09-05-2015,11:15 AM,others,1,2 & 3 & 4,fourlane,slightcurve,junction,fine,Bike over speed and Vehicle out of control hit to the lorry,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
19,09-05-2014,10:00 AM,others,1,2,fourlane,straight,junction,fine,Car,1,0,0,0,Ambulance/Petrol Vehicle,Due to over speed of car lost control and collided with MS Guardrail car self accident
20,09-05-2014,10:00 AM,others,1,2,fourlane,straight,junction,fine,Over Speed of Car,1,0,0,0,Ambulance/Petrol Vehicle,Due Over Speed lost control
21,09-04-2016,12:55 PM,overspeed,1,7,fourlane,slightcurve,junction,fine,Fault of road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
22,09-04-2014,12:30 PM,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,Over speed of car rammed to auto rikshaw
23,09-03-2017,5:20 AM,rearendcollision,2 & 3,2,fourlane,straight,junction,fine,Multi axle over speed and hit to car,0,2,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
24,09-03-2017,3:15 AM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit LCV,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli
25,09-03-2015,11:15 PM,skidding,1 & 2 & 4,2 & 3 & 5,fourlane,straight,tjunction,fine,Tata Ace hit to the car,1,1,0,3,Ambulance/Petrol Vehicle,The fatal and injured person shifted to Jalappa Hospital
26,09-02-2017,3:00 PM,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Animal (Cow),0,0,1,0,Petrol Vehicle,The minor injured Animal and Traffic clear immediately
27,09-12-2017,11:35 PM,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
28,09-12-2016,3:30 PM,rightturncollision,2,2 & 4,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
29,09-12-2015,8:10 PM,skidding,3,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
30,09-11-2017,6:00 AM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
31,09-10-2015,4:30 PM,others,1 & 2 & 4,2 & 3,fourlane,straight,junction,fine,Self accident Driver sleeping,1,1,0,2,Ambulance/Petrol Vehicle,The Fatal & Inured person shifted to Jalappa Hospital
32,09-01-2018,6:00 PM,overspeed,2,7,fourlane,straight,junction,fine,Fault of Two wheeler over speed to crossing road,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
33,08-09-2015,2:35 PM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
34,08-08-2017,5:00 PM,headoncollision,3,2 & 5,twolane,straight,junction,fine,Truck over speed and hit to Bike & Bus,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
35,08-08-2015,8:35 PM,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Two wheeler,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
36,08-07-2017,8:00 PM,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
37,08-07-2016,2:45 PM,skidding,3,2,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
38,08-07-2015,1:30 PM,skidding,4,3,fourlane,straight,junction,fine,Driver sleeping vehicle out of control and skidding,0,0,0,3,Ambulance/Petrol Vehicle,-
39,08-06-2016,10:35 AM,overspeed,1 & 3,2 & 4,fourlane,straight,tjunction,fine,Bus over speed and hit to Two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital
40,08-05-2018,5:09 AM,headoncollision,1,2 & 4,fourlane,straight,junction,cloudy,Bus over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
41,08-05-2016,7:50 PM,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to KR Puram Govt. Hospital
42,08-05-2016,10:45 PM,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
43,08-05-2015,5:20 PM,others,3 & 4,3 & 5,fourlane,straight,junction,fine,LCV vehicle over speed out of controll,0,0,2,2,Petrol Vehicle,The injured person shifted to Jalappa Hospital
44,08-05-2014,11:00 AM,others,1,1,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,"Due Drunk and Drive Lost Control, Seriously Injured shifted to hospital but died in the hospital"
45,08-05-2014,11:00 AM,others,1,1,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,Due to drunk and drive of bike rider self accident
46,08-04-2016,12:40 PM,headoncollision,1 & 2,2 & 4,fourlane,straight,junction,fine,Car over speed hit to Two wheeler. Fault of Two wheeler crossing the illegal median.,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital
47,08-03-2017,3:30 AM,overspeed,3,2,fourlane,straight,junction,fine,Truck over speed and hit to car,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
48,08-03-2016,5:45 PM,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed and take U turn and hit to the car,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
49,08-03-2015,11:30 AM,skidding,2,2 & 3,fourlane,straight,junction,fine,Vehicle over speed and Out of Control,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
50,08-02-2015,1:00 AM,others,1,4,fourlane,straight,junction,fine,Bike raiding vehicle out of control,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
51,08-12-2015,1:30 AM,overspeed,2,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,1,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
52,08-12-2015,12:45 PM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to LCV,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
53,08-12-2015,2:30 PM,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
54,08-12-2015,6:22 PM,headoncollision,1 & 4,2 & 4,fourlane,straight,junction,fine,Two wheeller over speed and Hit to JCB,2,0,0,1,Ambulance/Petrol Vehicle,Tha fatal body shifted to Jalappa Hospital
55,08-12-2014,3:25 PM,others,2,1 & 4,fourlane,slightcurve,junction,fine,Self Accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
56,08-12-2014,11:45 AM,others,2 & 3,7,fourlane,slightcurve,junction,fine,The vehicle of lorry hit to Road crossing passenger,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
57,08-11-2014,10:00 AM,others,2 & 4,1,fourlane,straight,junction,fine,Drunk & Drive,0,1,0,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
58,07-09-2016,11:15 PM,headoncollision,3,3,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
59,07-09-2016,10:30 AM,overspeed,1,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to road crossing pedestrain,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
60,07-09-2016,11:15 PM,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
61,07-09-2015,5:30 PM,skidding,2,2,fourlane,straight,junction,fine,car over speed out of control,0,3,0,0,Ambulance,"The injured person shifted to Govt Hospital, Hoskote"
62,07-09-2014,8:45 AM,overspeed,3,3,fourlane,slightcurve,junction,fine,Wrong route of Auto come and Hit to the Car over speed,0,0,3,0,Ambulance/Petrol Vehicle,The injured persons shifted to MVJ Hospital
63,07-07-2015,1:00 PM,skidding,2,1 & 2,fourlane,slightcurve,junction,fine,Fault of driver of Motor vehicle,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
64,07-07-2014,12:40 PM,overspeed,2 & 3,3,fourlane,straight,tjunction,fine,TATA ACE,0,1,2,0,Ambulance/Petrol Vehicle,Shifted to SNR Hospital Kolar
65,07-06-2016,11:00 PM,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to Car,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
66,07-06-2015,1:30 PM,overspeed,3,2,fourlane,straight,junction,fine,Car,0,0,0,5,Petrol Vehicle,Inova Car hits Maruthi car while over taking
67,07-06-2014,4:00 AM,others,3,2,fourlane,straight,yjunction,fine,Tempo over Speed,0,0,7,0,Ambulance/Petrol Vehicle,shifted to Hospital MVJ Hoskote
68,07-05-2017,4:45 PM,headoncollision,1,2 & 5 & 9,fourlane,straight,junction,fine,Car over speed self accident. Negligible Driving,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
69,07-05-2017,7:30 PM,overspeed,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,0,1,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
70,07-05-2014,10:45 AM,others,2,2,fourlane,straight,junction,fine,Truck,0,1,0,0,Ambulance/Petrol Vehicle,Over speeding of truck collided with mini truck
71,07-05-2014,10:45 AM,others,2,2,fourlane,straight,junction,fine,Over Speed of Lorry,0,1,0,0,Ambulance/Petrol Vehicle,Over speed while overtaking the Milk Van
72,07-04-2016,12:35 PM,skidding,1 & 3,2 & 9,fourlane,straight,junction,fine,LCV over speed Tyre blast self accident,1,0,3,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital
73,07-03-2016,7:30 PM,skidding,3,2 & 4,fourlane,straight,forearmjunction,fine,Two wheeler over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital
74,07-02-2018,1:15 PM,overspeed,1,7,fourlane,straight,junction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
75,07-02-2018,8:40 PM,overspeed,1,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian. Vehicle over speed and hit to pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
76,07-02-2016,3:45 PM,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed turning the opening opposite vehicle of truck hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
77,07-12-2017,11:40 PM,headoncollision,1,2,fourlane,straight,junction,fine,Car over speed and hit to Agriculture vehicle.,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
78,07-12-2016,8:50 PM,others,3,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
79,07-12-2015,5:00 AM,others,1,3 & 5,fourlane,straight,junction,fine,Vehicle Hit to Road crossing Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to SNR Hospital
80,07-12-2015,9:00 PM,skidding,2 & 3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
81,07-12-2015,9:30 PM,overspeed,1,5,fourlane,straight,junction,fine,Two wheeler Hit and run Road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
82,07-10-2016,12:30 AM,skidding,2,1,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
83,07-01-2017,12:35 AM,headoncollision,1,2 & 4,fourlane,slightcurve,junction,fine,Fault of Two wheeler over speed,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
84,07-01-2017,7:45 PM,skidding,2,2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
85,06-09-2017,9:45 PM,overspeed,2,2,fourlane,straight,junction,fine,Unknown vehicle hit to Road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
86,06-09-2015,4:35 AM,overspeed,2,2 & 3,fourlane,straight,junction,fine,Self Accident Drunk & Drive,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
87,06-09-2015,12:45 AM,skidding,3,2 & 5,fourlane,straight,junction,fine,Car over speed fault of driver,0,0,2,1,Petrol Vehicle,The injured person shifted to Jalappa Hospital
88,06-09-2014,6:20 PM,rightturncollision,2 & 3,3,fourlane,straight,tjunction,fine,KSRTC bus over speed Hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured persons shifted to Jalapa Hospital
89,06-08-2017,3:10 PM,headoncollision,1,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
90,06-08-2015,5:35 PM,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Truck over speed and Hit to the Two wheeler,1,0,2,0,Ambulance/Petrol Vehicle,The fatal boady shifted to Jalappa Hospital
91,06-08-2014,6:30 AM,overspeed,3 & 4,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,"Tata Ace Over speed. 1-Minor, 2- non injured. Shifted to Ambulance SNR Hospital Kolar."
92,06-07-2017,7:00 PM,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed hit to two wheeler,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
93,06-07-2016,3:15 PM,skidding,3 & 4,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed and vehicle out of control skidding self accident,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
94,06-06-2017,2:55 PM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
95,06-06-2017,11:55 AM,skidding,2,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
96,06-06-2016,2:15 AM,skidding,3,2,fourlane,straight,junction,fine,Car over speed Driver sleeping vehicle skidding,0,0,1,0,Ambulance,The injured person shifted to Jalappa Hospital
97,06-06-2016,2:45 AM,headoncollision,2,2 & 3,fourlane,straight,tjunction,fine,Car over speed and hit to LCV,0,1,0,0,Ambulance,The injured person shifted to Jalappa Hospital
98,06-06-2016,2:45 AM,overspeed,2,2 & 3,fourlane,straight,tjunction,fine,Car over speed and Hit to LCV,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
99,06-06-2016,4:30 PM,overspeed,3,5,fourlane,straight,junction,fine,Tractor over speed U turn and hit to Car,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
100,06-06-2014,10:30 PM,others,2,2,fourlane,straight,junction,fine,Car,0,2,0,0,Ambulance/Petrol Vehicle,Shifted to Govt. Hospital Kolar
101,06-06-2014,10:30 PM,others,2,2,fourlane,straight,junction,fine,Car,0,2,0,0,Ambulance/Petrol Vehicle,Shifted to Govt. Hospital Kolar
102,06-04-2015,7:00 PM,collisionbrush,1,2 & 5,fourlane,straight,junction,fine,Fault of Car over speed and hit to the KSRTC bus,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
103,06-03-2016,5:30 PM,overspeed,2,1 & 5,fourlane,straight,junction,fine,Drunk & Drive of car driver,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
104,06-03-2016,10:00 PM,overspeed,2,2,fourlane,slightcurve,junction,fine,Car over speed and hit to road crossing Pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
105,06-02-2018,9:15 AM,overspeed,1,7,fourlane,straight,junction,fine,Bus hit to road crossing pedestrian. Fault of Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote
106,06-02-2017,7:10 PM,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body & Injured person shifted to MVJ Hospital
107,06-02-2016,5:25 PM,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Auto,0,2,5,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
108,06-02-2016,7:36 PM,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed skidding,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
109,06-12-2014,8:40 PM,others,3,2 & 3,fourlane,straight,junction,fine,The car tyre puncher vehicle skidding on the carriageway,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
110,06-11-2017,1:30 AM,skidding,1,2,fourlane,straight,junction,fine,Car over speed self accident,1,0,0,0,Ambulance,The fatal body shifted to Govt Hoskote
111,06-11-2017,9:00 PM,overspeed,2,2 & 9,fourlane,straight,junction,fine,Car over speed hit to Truck,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli
112,06-11-2016,9:45 AM,skidding,2 & 3,2 & 3 & 4,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
113,06-11-2014,11:45 PM,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Over speed car and Hit to the Road Pedestrian,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
114,06-10-2017,10:30 AM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
115,06-10-2016,3:20 AM,skidding,1 & 3,2 & 5,fourlane,slightcurve,junction,fine,Unknown vehicle hit to bike,1,0,2,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
116,06-10-2015,4:30 AM,skidding,2,3,fourlane,straight,junction,fine,Car skidding on MCW because driver sleeping,0,2,0,0,Petrol Vehicle,The injure person shifted to MVJ Hospital
117,06-01-2018,5:00 PM,skidding,2,7,fourlane,straight,junction,fine,Fault of Road crossing pedestrian,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
118,05-09-2016,9:20 PM,overspeed,2,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
119,05-09-2016,8:30 PM,skidding,3,1,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
120,05-09-2016,3:10 PM,skidding,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,1,0,Ambulance,The injured person shifted to Srinivas Hospital
121,05-09-2015,10:00 AM,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance,The injured person shifted to KR Puram Govt. Hospital
122,05-09-2015,7:00 PM,overspeed,1,1,fourlane,straight,junction,fine,Drunk & Drive,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
123,05-09-2014,11:30 PM,headoncollision,1 & 2,2,fourlane,sharpcurve,tjunction,fine,TATA Ace Hit to Car over speeding,2,1,0,0,Ambulance/Petrol Vehicle,The Fatal person and Injured person shifted to Govt Hospital Kolar
124,05-08-2015,2:30 PM,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
125,05-07-2015,4:35 PM,skidding,4,2 & 4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,0,0,1,Petrol Vehicle,The injured person Shifted to Narsapur Govt Hsptl
126,05-07-2015,7:35 PM,overspeed,1,2 & 7,fourlane,slightcurve,junction,fine,Car over speed and hit to run the Pedestrian,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Mortury
127,05-07-2015,10:10 PM,overspeed,2,2 & 4,fourlane,straight,junction,fine,Fault of driver of Motor vehicle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
128,05-07-2014,10:45 PM,overspeed,2,1 & 2,fourlane,straight,junction,fine,Bike Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,Shifted to RL Jalappa Hospital Kolar
129,05-06-2016,8:10 PM,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
130,05-05-2016,10:45 PM,skidding,2,2,fourlane,straight,junction,fine,Car over speed vehicle out of control skidding,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital
131,05-05-2016,12:45 AM,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
132,05-04-2018,1:00 AM,headoncollision,2,1 & 2,fourlane,straight,junction,fine,LCV over speed and hit to Truck. Driver sleep and Drink & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
133,05-04-2014,11:45 AM,others,2,2,fourlane,straight,junction,fine,Bike,0,1,1,0,Ambulance/Petrol Vehicle,Due over speed of bike rider
134,05-03-2017,2:40 PM,headoncollision,1,2 & 5,fourlane,straight,tjunction,fine,car over speed and hit to two wheeler,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
135,05-03-2015,8:05 PM,overspeed,2 & 3 & 4,2 & 3 & 5,fourlane,straight,junction,fine,Total 3nos of vehicle accident in the spot,0,1,1,3,Ambulance,The injured person shifted to Jalappa Hospital
136,05-03-2015,8:05 PM,overspeed,2 & 3 & 4,2 & 3 & 5,fourlane,straight,junction,fine,Total 3nos of vehicle accident in the spot,0,1,1,3,Ambulance,The injured person shifted to Jalappa Hospital
137,05-03-2015,4:48 PM,others,1 & 2,2 & 3,fourlane,slightcurve,tjunction,fine,Self accident vehicle over speed,1,3,0,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to MVJ Hospital
138,05-03-2015,5:00 PM,others,2,1 & 2,fourlane,slightcurve,tjunction,fine,Self Accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
139,05-02-2016,1:30 AM,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Mini truck crushed with Truck. Negligent driving of Mini truck driver,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital
140,05-12-2015,9:45 PM,overspeed,2,2 & 3,fourlane,straight,junction,fine,Two wheeler overspeed and vehicle out of control skidding,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
